freq_1;term_1;freq_2;term_2;freq_3;term_3;freq_4;term_4;freq_5;term_5;freq_6;term_6;freq_7;term_7;freq_8;term_8;freq_9;term_9;freq_10;term_10;unique;total;source;filters
163344;the;99925;of;80918;and;69131;to;55560;a;47847;in;31332;I;31328;that;29565;it;29208;wa;47690;2726626;novels;asciifolding-porter_stem-snowball
205622;the;116174;of;101169;and;83742;to;65293;a;57659;in;38487;it;37800;that;37787;i;34400;wa;38663;3131917;novels;lowercase-asciifolding-porter_stem-snowball
37617;I;26383;hi;22706;he;20630;had;16268;have;15234;which;15070;The;14922;you;13529;from;13472;on;50174;2152396;novels;stop-porter_stem-snowball
37741;i;28074;he;27509;hi;20728;had;17455;you;16651;have;15335;which;14433;on;13910;from;12907;my;38754;2074001;novels;lowercase-stop-porter_stem-snowball
37644;I;26383;hi;22706;he;20630;had;16268;have;15234;which;15070;The;14922;you;13529;from;13472;on;50150;2152203;novels;asciifolding-stop-porter_stem-snowball
37787;i;28074;he;27509;hi;20728;had;17455;you;16651;have;15335;which;14433;on;13910;from;12907;my;38654;2073635;novels;lowercase-asciifolding-stop-porter_stem-snowball
189000;the;114241;of;96644;and;82149;to;61775;a;54243;in;37567;I;36140;that;34109;was;32113;it;49638;3131917;novels;kstem-snowball
205665;the;116174;of;101167;and;83740;to;64929;a;57654;in;38485;it;37800;that;37741;i;34396;was;38157;3131917;novels;lowercase-kstem-snowball
163383;the;99925;of;80918;and;69129;to;55561;a;47842;in;31332;I;31328;that;29564;it;29206;was;47239;2726626;novels;asciifolding-kstem-snowball
178247;the;101559;of;85327;and;70559;to;58545;a;50838;in;35555;it;32861;that;31522;i;29492;was;36288;2726626;novels;lowercase-asciifolding-kstem-snowball
37567;I;26071;his;22442;he;20489;had;16208;have;15126;which;15018;The;14855;you;13430;from;11793;my;49623;2141313;novels;stop-kstem-snowball
37741;i;28074;he;27498;his;20728;had;17455;you;16651;have;15335;which;13910;from;12907;my;12660;all;38143;2074001;novels;lowercase-stop-kstem-snowball
37594;I;26071;his;22442;he;20489;had;16208;have;15126;which;15018;The;14855;you;13430;from;11793;my;49599;2141120;novels;asciifolding-stop-kstem-snowball
37787;i;28074;he;27498;his;20728;had;17455;you;16651;have;15335;which;13910;from;12907;my;12660;all;38042;2073635;novels;lowercase-asciifolding-stop-kstem-snowball
163383;the;99925;of;80918;and;69131;to;55367;a;47847;in;31328;that;31305;I;29565;it;29208;wa;47289;2726626;novels;porter_stem-kstem-snowball
156197;the;88607;of;73925;and;62101;to;50781;a;44786;in;31104;it;29492;i;28664;that;26568;wa;34175;2397307;novels;lowercase-porter_stem-kstem-snowball
152333;the;91964;of;74807;and;64325;to;52059;a;44491;in;31051;I;28795;that;28124;wa;27489;it;45756;2547541;novels;asciifolding-porter_stem-kstem-snowball
166773;the;93913;of;78851;and;65881;to;55052;a;47494;in;33007;it;31162;i;30382;that;28461;wa;35307;2556204;novels;lowercase-asciifolding-porter_stem-kstem-snowball
37567;I;26073;hi;22442;he;20489;had;16208;have;15126;which;15018;The;14855;you;13430;from;13414;on;49660;2141313;novels;stop-porter_stem-kstem-snowball
31477;i;25155;he;24837;hi;17467;had;15662;you;15014;have;13379;which;12979;on;11760;from;11567;her;36414;1805900;novels;lowercase-stop-porter_stem-kstem-snowball
31332;I;23496;hi;20083;he;17244;had;14617;have;13463;The;13273;you;13171;which;12053;on;11354;from;47255;1866666;novels;asciifolding-stop-porter_stem-kstem-snowball
31522;i;25155;he;24837;hi;17467;had;15662;you;15014;have;13379;which;12979;on;11760;from;11567;her;36317;1805534;novels;lowercase-asciifolding-stop-porter_stem-kstem-snowball
