damping,tolerance,iterations,time,p_min,p_25,p_50,p_75,p_max
0.5,1.0e-10,20.0,0.6956230640411377,0.00009914596358562065,0.00009914596358562065,0.00010786884398295723,0.00015561136300530152,0.003567680358395788
0.5,1.0e-6,10.0,0.3668797969818115,0.00009914597532759729,0.00009914597532759729,0.00010786920809395206,0.0001556135336025646,0.0035675890409167777
0.5,1.0e-7,14.0,0.49985265731811523,0.00009914596422149398,0.00009914596422149398,0.00010786885195920429,0.00015561159638130838,0.0035676784831705924
0.5,1.0e-8,17.0,0.6041894912719726,0.00009914596365663881,0.00009914596365663881,0.00010786884488343594,0.00015561139107316872,0.003567680475694277
0.5,1.0e-9,19.0,0.669462251663208,0.00009914596359601991,0.00009914596359601991,0.00010786884414959543,0.00015561136707859517,0.0035676804001594535
0.55,1.0e-10,24.0,0.8322191715240479,0.00008909432986750332,0.00008909432986750332,0.00009945260623514299,0.00015286289123256155,0.003930637928211563
0.55,1.0e-6,12.0,0.43162879943847654,0.00008909433849927657,0.00008909433849927657,0.00009945233954345945,0.00015285080368772228,0.003930586333604718
0.55,1.0e-7,17.0,0.6000030517578125,0.00008909433028681969,0.00008909433028681969,0.00009945260405803722,0.00015286218042256266,0.003930639201768604
0.55,1.0e-8,21.0,0.7358774185180664,0.00008909432990326201,0.00008909432990326201,0.00009945260690515899,0.00015286282614430366,0.003930638266125109
0.55,1.0e-9,23.0,0.8002536296844482,0.00008909432987368552,0.00008909432987368552,0.00009945260639962856,0.00015286287970388388,0.003930638001942749
0.6,1.0e-10,29.0,1.0011765003204345,0.00007882340635072552,0.00007882340635072552,0.00009064683706769784,0.00014971103744256483,0.004290853541408076
0.6,1.0e-6,15.0,0.5328744411468506,0.00007882341127660975,0.00007882341127660975,0.00009064621251595304,0.00014970916334319188,0.004290856063597846
0.6,1.0e-7,21.0,0.7328946113586425,0.00007882340660658463,0.00007882340660658463,0.0000906468072546646,0.000149710951022388,0.004290856822312734
0.6,1.0e-8,26.0,0.900620698928833,0.00007882340637006039,0.00007882340637006039,0.0000906468351226453,0.00014971103494183343,0.004290853943257602
0.6,1.0e-9,28.0,0.9677774906158447,0.00007882340635454845,0.00007882340635454845,0.00009064683670385637,0.00014971103693665845,0.00429085362865889
0.65,1.0e-10,35.0,1.199510145187378,0.0000684395975298767,0.0000684395975298767,0.00008171252009713924,0.0001470995763493266,0.004646772549774738
0.65,1.0e-6,18.0,0.633610200881958,0.00006843960172141635,0.00006843960172141635,0.00008171210208314602,0.00014710101323373584,0.0046468091748536515
0.65,1.0e-7,26.0,0.898932409286499,0.0000684395977027141,0.0000684395977027141,0.00008171248750955243,0.00014709950499851656,0.004646777190036823
0.65,1.0e-8,32.0,1.0996182918548585,0.00006843959754255463,0.00006843959754255463,0.00008171251718821254,0.0001470995707020209,0.00464677298494357
0.65,1.0e-9,35.0,1.1982837200164795,0.0000684395975298767,0.0000684395975298767,0.00008171252009713924,0.0001470995763493266,0.004646772549774738
0.7,1.0e-10,45.0,1.5324262142181397,0.00005804801672141104,0.00005804801672141104,0.00007302682110451969,0.00014382645449574912,0.004997290899095689
0.7,1.0e-6,23.0,0.7995487689971924,0.00005804801923990537,0.00005804801923990537,0.00007302897447958807,0.00014383642857918654,0.004997359438794618
0.7,1.0e-7,32.0,1.1010436534881591,0.0000580480168692042,0.0000580480168692042,0.0000730269303956949,0.00014382709947364237,0.004997297379946576
0.7,1.0e-8,40.0,1.3656641006469727,0.00005804801673193117,0.00005804801673193117,0.00007302682740793333,0.00014382649582748988,0.004997291421452384
0.7,1.0e-9,44.0,1.4999375343322754,0.000058048016722475974,0.000058048016722475974,0.00007302682172060027,0.0001438264584980817,0.00499729095299076
0.75,1.0e-10,58.0,1.9696414470672607,0.0000477459086581954,0.0000477459086581954,0.00006440233492278999,0.0001389770969551611,0.005341690060432389
0.75,1.0e-6,31.0,1.067826223373413,0.00004774590984106156,0.00004774590984106156,0.00006440167452976623,0.0001389841089533067,0.005341754605814126
