n_words,min_freq,max_freq,voc_size,clusters,iterations,converged,total_time,iter_time
250,0.01,0.02,250,4,10,0,53.0399,5.30399
100,0.06,0.07,80,1,3,1,12.7506,4.25019
250,0.01,0.03,250,5,10,0,72.875,7.2875
250,0.01,0.04,250,4,10,0,62.2961,6.22961
250,0.01,0.05,250,1,3,1,24.1143,8.0381
250,0.01,0.06,250,1,3,1,25.8689,8.62298
250,0.01,0.07,250,1,3,1,27.0963,9.0321
250,0.02,0.09,250,1,4,1,31.4297,7.85742
250,0.01,0.08,250,1,3,1,27.8208,9.27361
250,0.02,0.1,250,1,4,1,31.1169,7.77922
250,0.01,0.09,250,1,4,1,31.2853,7.82134
250,0.03,0.04,192,1,3,1,14.4302,4.81008
250,0.03,0.05,250,1,3,1,25.6978,8.56595
250,0.01,0.1,250,1,4,1,28.4441,7.11102
250,0.03,0.06,250,1,3,1,26.3615,8.78717
250,0.02,0.03,250,5,10,0,61.1526,6.11526
250,0.03,0.07,250,1,3,1,27.2299,9.07665
250,0.02,0.04,250,3,10,0,58.5124,5.85124
250,0.03,0.08,250,2,4,1,32.9336,8.2334
250,0.02,0.05,250,1,3,1,23.0135,7.67117
250,0.03,0.09,250,1,4,1,29.8237,7.45591
250,0.02,0.06,250,1,3,1,26.1024,8.7008
250,0.03,0.1,250,2,4,1,31.9961,7.99902
250,0.02,0.07,250,1,3,1,26.654,8.88468
250,0.04,0.05,158,1,3,1,14.1767,4.72557
250,0.02,0.08,250,1,3,1,27.7715,9.25717
250,0.04,0.06,250,1,3,1,26.4633,8.82109
250,0.04,0.07,250,1,3,1,26.4167,8.80556
250,0.04,0.08,250,1,3,1,27.8518,9.28395
250,0.04,0.09,250,2,3,1,27.8483,9.28277
250,0.07,0.08,67,1,3,1,11.8467,3.9489
250,0.07,0.09,118,1,3,1,16.3123,5.43744
250,0.04,0.1,250,1,4,1,29.4038,7.35096
250,0.07,0.1,160,1,4,1,22.9543,5.73857
250,0.05,0.06,103,1,3,1,14.1119,4.70395
250,0.08,0.09,51,1,3,1,11.3916,3.79722
250,0.05,0.07,183,1,3,1,21.2286,7.07621
250,0.08,0.1,93,1,3,1,15.7391,5.24635
250,0.09,0.1,42,1,3,1,10.5974,3.53247
250,0.05,0.08,250,1,3,1,27.7728,9.25759
250,0.05,0.09,250,2,4,1,30.9029,7.72572
250,0.05,0.1,250,1,4,1,30.1199,7.52998
250,0.06,0.07,80,2,3,1,12.526,4.17532
250,0.06,0.08,147,1,3,1,19.5064,6.50213
250,0.06,0.09,198,2,4,1,27.2293,6.80732
250,0.06,0.1,240,1,4,1,30.2934,7.57336
