ncores,repetition,iteration,time
4,10,6,2.791718006134033
4,10,7,2.785857677459717
4,10,8,2.7907700538635254
4,10,9,2.745327949523926
4,10,10,2.7878565788269043
5,1,1,2.2382426261901855
5,1,2,2.482105016708374
5,1,3,2.6518068313598633
5,1,4,2.672996997833252
5,1,5,2.633664608001709
5,1,6,2.6762163639068604
5,1,7,2.655637502670288
5,1,8,2.658271312713623
5,1,9,2.62215518951416
5,1,10,2.663175106048584
5,2,1,2.216381072998047
5,2,2,2.489978790283203
5,2,3,2.6331558227539062
5,2,4,2.655277967453003
5,2,5,2.640974998474121
5,2,6,2.6545491218566895
5,2,7,2.6537489891052246
5,2,8,2.647151231765747
5,2,9,2.612703800201416
5,2,10,2.657727003097534
5,3,1,2.216155767440796
5,3,2,2.482912540435791
5,3,3,2.6353046894073486
5,3,4,2.6583802700042725
5,3,5,2.6269588470458984
5,3,6,2.664793014526367
5,3,7,2.660287618637085
5,3,8,2.6525938510894775
5,3,9,2.625838041305542
5,3,10,2.666081190109253
5,4,1,2.2075531482696533
5,4,2,2.4792892932891846
5,4,3,2.6535208225250244
5,4,4,2.6676156520843506
5,4,5,2.6362123489379883
5,4,6,2.661608934402466
5,4,7,2.662806510925293
5,4,8,2.648099422454834
5,4,9,2.62676739692688
5,4,10,2.6653804779052734
5,5,1,2.210148572921753
5,5,2,2.479982614517212
5,5,3,2.641395092010498
5,5,4,2.667807102203369
5,5,5,2.631971836090088
5,5,6,2.6645047664642334
5,5,7,2.6615712642669678
5,5,8,2.6559834480285645
5,5,9,2.627561092376709
5,5,10,2.6690499782562256
5,6,1,2.235795259475708
5,6,2,2.4679598808288574
5,6,3,2.6376500129699707
5,6,4,2.6722869873046875
5,6,5,2.6210083961486816
5,6,6,2.665581464767456
5,6,7,2.6816213130950928
5,6,8,2.658282518386841
5,6,9,2.6130754947662354
5,6,10,2.6579391956329346
5,7,1,2.214547634124756
5,7,2,2.4768178462982178
5,7,3,2.6383605003356934
5,7,4,2.6641674041748047
5,7,5,2.6268293857574463
5,7,6,2.6728549003601074
5,7,7,2.658898115158081
5,7,8,2.6599807739257812
5,7,9,2.61942982673645
5,7,10,2.6694302558898926
5,8,1,2.213771343231201
5,8,2,2.47202467918396
5,8,3,2.639282464981079
5,8,4,2.663444757461548
5,8,5,2.6234426498413086
5,8,6,2.659061908721924
5,8,7,2.65710711479187
5,8,8,2.6585631370544434
5,8,9,2.6244983673095703
5,8,10,2.676574468612671
5,9,1,2.2246921062469482
5,9,2,2.474626064300537
5,9,3,2.635582208633423
5,9,4,2.6600875854492188
5,9,5,2.6309471130371094
5,9,6,2.6599302291870117
5,9,7,2.662871837615967
5,9,8,2.6427102088928223
5,9,9,2.6183719635009766
5,9,10,2.658424139022827
5,10,1,2.2366397380828857
5,10,2,2.469315528869629
5,10,3,2.6361989974975586
5,10,4,2.661942481994629
5,10,5,2.627387046813965
5,10,6,2.657665491104126
5,10,7,2.656165838241577
5,10,8,2.6483919620513916
5,10,9,2.616722822189331
5,10,10,2.6570587158203125
6,1,1,2.230836868286133
6,1,2,2.4447765350341797
6,1,3,2.585106611251831
6,1,4,2.5959339141845703
6,1,5,2.563934803009033
6,1,6,2.594200611114502
6,1,7,2.6027326583862305
6,1,8,2.5861992835998535
6,1,9,2.5509212017059326
6,1,10,2.5897161960601807
6,2,1,2.21506667137146
6,2,2,2.4389281272888184
6,2,3,2.562593460083008
6,2,4,2.600661277770996
6,2,5,2.5510201454162598
6,2,6,2.5854718685150146
6,2,7,2.5855753421783447
6,2,8,2.580305337905884
6,2,9,2.5548973083496094
6,2,10,2.5881783962249756
6,3,1,2.2337050437927246
6,3,2,2.4698987007141113
6,3,3,2.5635743141174316
6,3,4,2.5815887451171875
6,3,5,2.562417984008789
6,3,6,2.5875587463378906
6,3,7,2.58803129196167
6,3,8,2.570420980453491
6,3,9,2.559523582458496
6,3,10,2.5927419662475586
6,4,1,2.2089130878448486
6,4,2,2.437185049057007
6,4,3,2.5605714321136475
6,4,4,2.5822629928588867
6,4,5,2.557347536087036
6,4,6,2.588512659072876
6,4,7,2.589343547821045
6,4,8,2.6067616939544678
6,4,9,2.5489323139190674
6,4,10,2.5828287601470947
6,5,1,2.2178194522857666
6,5,2,2.4262614250183105
6,5,3,2.567864179611206
6,5,4,2.5872559547424316
6,5,5,2.5487515926361084
6,5,6,2.5838496685028076
6,5,7,2.5680344104766846
6,5,8,2.5683469772338867
6,5,9,2.5600485801696777
6,5,10,2.582627058029175
6,6,1,2.222890853881836
6,6,2,2.4432730674743652
6,6,3,2.5710654258728027
6,6,4,2.589501142501831
6,6,5,2.552828550338745
6,6,6,2.586446523666382
6,6,7,2.5860536098480225
6,6,8,2.573295831680298
6,6,9,2.546985149383545
6,6,10,2.584620237350464
6,7,1,2.223060369491577
6,7,2,2.4239730834960938
6,7,3,2.562173366546631
6,7,4,2.582913398742676
6,7,5,2.552145481109619
6,7,6,2.597496271133423
6,7,7,2.5828840732574463
6,7,8,2.576812267303467
6,7,9,2.553101062774658
6,7,10,2.5827672481536865
6,8,1,2.2196154594421387
6,8,2,2.439303159713745
6,8,3,2.562605142593384
6,8,4,2.588641881942749
6,8,5,2.5518457889556885
6,8,6,2.5932095050811768
6,8,7,2.5695552825927734
6,8,8,2.565523862838745
6,8,9,2.548906087875366
6,8,10,2.6072494983673096
6,9,1,2.2205464839935303
6,9,2,2.443720817565918
6,9,3,2.55714750289917
6,9,4,2.605597496032715
6,9,5,2.549306869506836
6,9,6,2.5918776988983154
6,9,7,2.5940041542053223
6,9,8,2.5761945247650146
6,9,9,2.553143262863159
6,9,10,2.593980312347412
6,10,1,2.221092700958252
6,10,2,2.4352524280548096
6,10,3,2.5657002925872803
6,10,4,2.603839635848999
6,10,5,2.5655949115753174
6,10,6,2.597780227661133
6,10,7,2.591367244720459
6,10,8,2.5684564113616943
6,10,9,2.544170379638672
6,10,10,2.5879569053649902
7,1,1,2.6892006397247314
7,1,2,2.947998285293579
7,1,3,3.1413896083831787
7,1,4,3.1695945262908936
7,1,5,2.8372156620025635
7,1,6,3.223318576812744
7,1,7,3.169013738632202
7,1,8,3.163069009780884
7,1,9,3.106706380844116
7,1,10,3.179478168487549
7,2,1,2.6757688522338867
7,2,2,2.955573320388794
7,2,3,3.16668963432312
7,2,4,3.1532034873962402
7,2,5,3.139467477798462
7,2,6,3.1880266666412354
7,2,7,3.184612989425659
7,2,8,3.1598713397979736
7,2,9,3.170161485671997
7,2,10,3.1820428371429443
7,3,1,2.6675469875335693
7,3,2,2.947969913482666
7,3,3,3.136502981185913
7,3,4,3.1725993156433105
7,3,5,3.1291556358337402
7,3,6,3.2092232704162598
7,3,7,3.1840436458587646
7,3,8,3.191572904586792
7,3,9,3.1616289615631104
7,3,10,3.1835014820098877
7,4,1,2.666710376739502
7,4,2,2.971872329711914
7,4,3,3.13415789604187
7,4,4,3.204744338989258
7,4,5,3.1430606842041016
7,4,6,3.1657721996307373
7,4,7,3.1914122104644775
7,4,8,3.168015241622925
7,4,9,3.132633924484253
7,4,10,3.1573822498321533
7,5,1,2.6613545417785645
7,5,2,2.9803998470306396
7,5,3,3.1401350498199463
7,5,4,3.1831753253936768
7,5,5,2.7945001125335693
7,5,6,3.1984052658081055
7,5,7,3.1760880947113037
7,5,8,3.188065528869629
7,5,9,3.1299548149108887
7,5,10,3.1712377071380615
7,6,1,2.6707634925842285
7,6,2,2.9575860500335693
7,6,3,3.1581640243530273
7,6,4,3.1642632484436035
7,6,5,3.140807867050171
7,6,6,3.186952590942383
7,6,7,3.1751880645751953
7,6,8,3.176994562149048
7,6,9,3.111405849456787
7,6,10,3.1724324226379395
7,7,1,2.686995506286621
7,7,2,2.983774423599243
7,7,3,3.17046856880188
7,7,4,3.198411226272583
7,7,5,3.1615524291992188
7,7,6,3.1919264793395996
7,7,7,3.1676933765411377
7,7,8,3.1775362491607666
7,7,9,3.1465535163879395
7,7,10,3.1762356758117676
7,8,1,2.669785499572754
7,8,2,2.9670979976654053
7,8,3,3.1551401615142822
7,8,4,3.19077205657959
7,8,5,3.1366446018218994
7,8,6,3.2075631618499756
7,8,7,3.2056310176849365
7,8,8,3.1737351417541504
7,8,9,3.1175146102905273
7,8,10,3.203317880630493
7,9,1,2.6632933616638184
7,9,2,2.965999126434326
7,9,3,3.0714757442474365
7,9,4,3.200568675994873
7,9,5,3.2004804611206055
7,9,6,3.1935482025146484
7,9,7,3.1666572093963623
7,9,8,3.177793502807617
7,9,9,3.1010923385620117
7,9,10,3.208789110183716
7,10,1,2.673421859741211
7,10,2,2.985276937484741
7,10,3,3.1463475227355957
7,10,4,3.193704605102539
7,10,5,3.1698262691497803
7,10,6,3.1637892723083496
7,10,7,3.2178714275360107
7,10,8,3.1544322967529297
7,10,9,3.134799003601074
7,10,10,3.1542837619781494
