min_freq,max_freq,n_words,actual_words,clusters_init,iteration,it_converged,it_clusters,it_time
0.02,0.09,100,100,20,4,1,2,3.5038304328918457
0.2,0.9,100,99,20,1,0,20,6.246776819229126
0.2,0.9,100,99,20,2,0,1,9.417178392410278
0.2,0.9,100,99,20,3,1,1,6.294047594070435
0.2,1.0,100,100,20,1,0,20,6.193206310272217
0.2,1.0,100,100,20,2,0,2,9.310424327850342
0.2,1.0,100,100,20,3,1,2,6.294047594070435
0.03,0.1,100,100,20,1,0,14,3.4832165241241455
0.03,0.1,100,100,20,2,0,14,5.578653812408447
0.03,0.1,100,100,20,3,0,3,6.496097564697266
0.03,0.1,100,100,20,4,0,2,3.2748942375183105
0.03,0.1,100,100,20,5,1,2,2.865161895751953
0.03,0.04,100,100,20,1,0,5,2.72883939743042
0.03,0.04,100,100,20,2,0,5,3.593402624130249
0.03,0.04,100,100,20,3,0,2,3.5332372188568115
0.03,0.04,100,100,20,4,1,2,3.2748942375183105
0.3,0.4,100,23,20,1,0,20,3.6288580894470215
0.3,0.4,100,23,20,2,0,5,3.6701393127441406
0.3,0.4,100,23,20,3,0,2,2.664830207824707
0.3,0.4,100,23,20,4,1,2,3.2748942375183105
0.03,0.05,100,100,20,1,0,8,2.899393320083618
0.03,0.05,100,100,20,2,0,8,3.769897937774658
0.03,0.05,100,100,20,3,0,2,4.386142253875732
0.03,0.05,100,100,20,4,1,2,3.2748942375183105
0.3,0.5,100,30,20,1,0,20,4.0362162590026855
0.3,0.5,100,30,20,2,0,3,4.571506023406982
0.3,0.5,100,30,20,3,0,2,3.140460252761841
0.3,0.5,100,30,20,4,1,2,3.2748942375183105
0.03,0.06,100,100,20,1,0,7,2.898195266723633
0.03,0.06,100,100,20,2,0,7,3.6802916526794434
0.03,0.06,100,100,20,3,0,1,4.289336919784546
0.03,0.06,100,100,20,4,1,1,3.2748942375183105
0.3,0.6,100,34,20,1,0,20,4.089183568954468
0.3,0.6,100,34,20,2,0,3,4.553730249404907
0.3,0.6,100,34,20,3,0,2,2.6942484378814697
0.3,0.6,100,34,20,4,1,2,3.2748942375183105
0.03,0.07,100,100,20,1,0,12,3.0836021900177
0.03,0.07,100,100,20,2,0,12,4.809099197387695
0.03,0.07,100,100,20,3,0,2,5.620790958404541
0.03,0.07,100,100,20,4,1,2,3.2748942375183105
0.3,0.7,100,35,20,1,0,20,4.156962156295776
0.3,0.7,100,35,20,2,0,2,4.712409019470215
0.3,0.7,100,35,20,3,1,2,5.620790958404541
0.03,0.08,100,100,20,1,0,11,3.134629726409912
0.03,0.08,100,100,20,2,0,11,4.996686220169067
0.03,0.08,100,100,20,3,0,1,5.694778919219971
0.03,0.08,100,100,20,4,1,1,3.2748942375183105
0.3,0.8,100,38,20,1,0,20,4.488268613815308
0.3,0.8,100,38,20,2,0,4,4.937400817871094
0.3,0.8,100,38,20,3,0,3,2.825594186782837
0.3,0.8,100,38,20,4,0,2,2.794764757156372
0.3,0.8,100,38,20,5,1,2,2.865161895751953
0.03,0.09,100,100,20,1,0,17,3.189084529876709
0.03,0.09,100,100,20,2,0,17,5.990834474563599
0.03,0.09,100,100,20,3,0,3,7.2750396728515625
0.03,0.09,100,100,20,4,0,3,3.25137996673584
0.03,0.09,100,100,20,5,0,3,3.2764720916748047
0.03,0.09,100,100,20,6,0,3,3.219926595687866
0.03,0.09,100,100,20,7,0,3,3.1943888664245605
0.03,0.09,100,100,20,8,0,3,3.225090265274048
0.03,0.09,100,100,20,9,0,3,3.168391227722168
0.03,0.09,100,100,20,10,0,3,3.271068811416626
0.03,0.09,100,100,20,11,0,3,3.2056655883789062
0.03,0.09,100,100,20,12,0,3,3.215306043624878
0.03,0.09,100,100,20,13,0,3,3.2234041690826416
0.03,0.09,100,100,20,14,0,3,3.243572235107422
0.03,0.09,100,100,20,15,0,3,3.9569740295410156
0.03,0.09,100,100,20,16,0,3,4.169917583465576
0.03,0.09,100,100,20,17,0,3,3.762014865875244
0.03,0.09,100,100,20,18,0,3,3.635958194732666
0.03,0.09,100,100,20,19,0,3,3.3365917205810547
0.03,0.09,100,100,20,20,0,3,4.08388090133667
0.3,0.9,100,38,20,1,0,20,4.716689109802246
0.3,0.9,100,38,20,2,0,2,4.961907386779785
0.3,0.9,100,38,20,3,0,1,2.788806200027466
0.3,0.9,100,38,20,4,1,1,3.25137996673584
0.3,1.0,100,39,20,1,0,20,4.700064420700073
0.3,1.0,100,39,20,2,0,1,5.249161720275879
0.3,1.0,100,39,20,3,1,1,2.788806200027466
0.04,0.1,100,100,20,1,0,16,3.3478126525878906
0.04,0.1,100,100,20,2,0,16,6.654498100280762
0.04,0.1,100,100,20,3,0,1,7.239200830459595
0.04,0.1,100,100,20,4,1,1,3.25137996673584
0.04,0.05,100,100,20,1,0,6,2.949465751647949
0.04,0.05,100,100,20,2,0,6,3.819037437438965
0.04,0.05,100,100,20,3,0,1,4.134091854095459
0.04,0.05,100,100,20,4,1,1,3.25137996673584
0.4,0.5,100,7,20,1,0,9,2.6576011180877686
0.4,0.5,100,7,20,2,0,7,2.4137144088745117
0.4,0.5,100,7,20,3,0,6,2.485032320022583
0.4,0.5,100,7,20,4,0,5,2.3438808917999268
0.4,0.5,100,7,20,5,0,4,2.334315061569214
0.4,0.5,100,7,20,6,0,3,2.3215761184692383
0.4,0.5,100,7,20,7,0,3,2.281853199005127
0.4,0.5,100,7,20,8,0,2,2.639500379562378
0.4,0.5,100,7,20,9,0,1,2.3339176177978516
0.4,0.5,100,7,20,10,1,1,3.271068811416626
0.04,0.06,100,100,20,1,0,7,3.0458199977874756
0.04,0.06,100,100,20,2,0,7,3.670661687850952
0.04,0.06,100,100,20,3,0,1,4.2128376960754395
0.04,0.06,100,100,20,4,1,1,2.3438808917999268
0.4,0.6,100,11,20,1,0,18,3.2996318340301514
0.4,0.6,100,11,20,2,0,9,2.91191029548645
0.4,0.6,100,11,20,3,0,5,2.7638392448425293
0.4,0.6,100,11,20,4,0,5,2.841949224472046
0.4,0.6,100,11,20,5,0,2,2.538639545440674
0.4,0.6,100,11,20,6,0,1,2.4912779331207275
0.4,0.6,100,11,20,7,1,1,2.281853199005127
0.04,0.07,100,100,20,1,0,10,3.1013429164886475
0.04,0.07,100,100,20,2,0,10,4.306029558181763
0.04,0.07,100,100,20,3,0,4,5.152011394500732
0.04,0.07,100,100,20,4,0,4,3.5433425903320312
0.04,0.07,100,100,20,5,0,4,3.4976751804351807
0.04,0.07,100,100,20,6,0,4,3.496030330657959
0.04,0.07,100,100,20,7,0,4,3.536503314971924
0.04,0.07,100,100,20,8,0,4,3.5728766918182373
0.04,0.07,100,100,20,9,0,4,3.537139415740967
0.04,0.07,100,100,20,10,0,4,3.5749552249908447
0.04,0.07,100,100,20,11,0,4,3.583538055419922
0.04,0.07,100,100,20,12,0,4,3.7287824153900146
0.04,0.07,100,100,20,13,0,4,3.678722858428955
0.04,0.07,100,100,20,14,0,4,3.5679683685302734
0.04,0.07,100,100,20,15,0,4,3.4700307846069336
0.04,0.07,100,100,20,16,0,4,3.469003200531006
0.04,0.07,100,100,20,17,0,4,3.4707109928131104
0.04,0.07,100,100,20,18,0,4,3.580115795135498
0.04,0.07,100,100,20,19,0,4,3.4123148918151855
0.04,0.07,100,100,20,20,0,4,3.475752353668213
0.4,0.7,100,12,20,1,0,20,2.910257577896118
0.4,0.7,100,12,20,2,0,11,2.983342170715332
0.4,0.7,100,12,20,3,0,4,2.761363983154297
0.4,0.7,100,12,20,4,0,2,2.4832234382629395
0.4,0.7,100,12,20,5,1,2,3.4976751804351807
0.04,0.08,100,100,20,1,0,15,3.252185106277466
0.04,0.08,100,100,20,2,0,15,5.614484786987305
0.04,0.08,100,100,20,3,0,7,6.6300880908966064
0.04,0.08,100,100,20,4,0,2,4.466037034988403
0.04,0.08,100,100,20,5,0,1,3.0859525203704834
0.04,0.08,100,100,20,6,1,1,3.496030330657959
0.4,0.8,100,15,20,1,0,18,3.500131607055664
0.4,0.8,100,15,20,2,0,2,3.229611396789551
0.4,0.8,100,15,20,3,1,2,6.6300880908966064
0.04,0.09,100,100,20,1,0,17,3.5761566162109375
0.04,0.09,100,100,20,2,0,17,6.085283279418945
0.04,0.09,100,100,20,3,0,10,7.9175848960876465
0.04,0.09,100,100,20,4,0,3,5.314573049545288
0.04,0.09,100,100,20,5,0,2,3.318052053451538
0.04,0.09,100,100,20,6,1,2,3.496030330657959
0.4,0.9,100,15,20,1,0,20,3.11570405960083
0.4,0.9,100,15,20,2,0,6,3.3504974842071533
0.4,0.9,100,15,20,3,0,4,2.6147472858428955
0.4,0.9,100,15,20,4,0,3,2.817988634109497
0.4,0.9,100,15,20,5,0,2,2.5633270740509033
0.4,0.9,100,15,20,6,1,2,3.496030330657959
0.4,1.0,100,16,20,1,0,20,3.2025880813598633
0.4,1.0,100,16,20,2,0,7,3.4932405948638916
0.4,1.0,100,16,20,3,0,3,2.7380127906799316
0.4,1.0,100,16,20,4,0,1,2.5628983974456787
0.4,1.0,100,16,20,5,1,1,2.5633270740509033
0.05,0.1,100,100,20,1,0,17,3.3857250213623047
0.05,0.1,100,100,20,2,0,17,6.137631416320801
0.05,0.1,100,100,20,3,0,10,7.721567153930664
0.05,0.1,100,100,20,4,0,2,5.338029861450195
0.05,0.1,100,100,20,5,0,1,3.025928020477295
0.05,0.1,100,100,20,6,1,1,3.496030330657959
0.05,0.06,100,100,20,1,0,8,2.96858286857605
0.05,0.06,100,100,20,2,0,8,3.9172523021698
0.05,0.06,100,100,20,3,0,1,4.57521653175354
0.05,0.06,100,100,20,4,1,1,5.338029861450195
0.5,0.6,100,4,20,1,0,6,2.426250457763672
0.5,0.6,100,4,20,2,0,3,2.6537365913391113
0.5,0.6,100,4,20,3,0,2,2.254669189453125
0.5,0.6,100,4,20,4,1,2,5.338029861450195
0.05,0.07,100,100,20,1,0,10,3.054948568344116
0.05,0.07,100,100,20,2,0,10,4.178880214691162
0.05,0.07,100,100,20,3,0,3,5.508605241775513
0.05,0.07,100,100,20,4,0,2,3.3457601070404053
0.05,0.07,100,100,20,5,1,2,3.025928020477295
0.5,0.7,100,5,20,1,0,7,2.4854581356048584
0.5,0.7,100,5,20,2,0,7,2.3118999004364014
0.5,0.7,100,5,20,3,0,7,2.3220913410186768
0.5,0.7,100,5,20,4,0,7,2.4168975353240967
0.5,0.7,100,5,20,5,0,7,2.339440107345581
0.5,0.7,100,5,20,6,0,7,2.376925468444824
0.5,0.7,100,5,20,7,0,7,2.3523306846618652
0.5,0.7,100,5,20,8,0,7,2.5105183124542236
0.5,0.7,100,5,20,9,0,7,2.334038496017456
0.5,0.7,100,5,20,10,0,7,2.364690065383911
0.5,0.7,100,5,20,11,0,7,2.388692855834961
0.5,0.7,100,5,20,12,0,7,2.3353404998779297
0.5,0.7,100,5,20,13,0,7,2.376176357269287
0.5,0.7,100,5,20,14,0,7,2.3243772983551025
0.5,0.7,100,5,20,15,0,7,2.420199155807495
0.5,0.7,100,5,20,16,0,7,2.3796944618225098
0.5,0.7,100,5,20,17,0,7,2.4297854900360107
0.5,0.7,100,5,20,18,0,7,2.33644437789917
0.5,0.7,100,5,20,19,0,7,2.8244223594665527
0.5,0.7,100,5,20,20,0,7,2.3540942668914795
0.05,0.08,100,100,20,1,0,14,3.2729578018188477
0.05,0.08,100,100,20,2,0,14,5.2054712772369385
0.05,0.08,100,100,20,3,0,4,6.93955659866333
0.05,0.08,100,100,20,4,0,2,4.0470006465911865
0.05,0.08,100,100,20,5,0,2,3.2221662998199463
0.05,0.08,100,100,20,6,1,2,2.376925468444824
0.5,0.8,100,8,20,1,0,17,3.464278221130371
0.5,0.8,100,8,20,2,0,11,3.0446536540985107
0.5,0.8,100,8,20,3,0,10,2.7689197063446045
0.5,0.8,100,8,20,4,0,10,3.1553921699523926
0.5,0.8,100,8,20,5,0,7,2.538675308227539
0.5,0.8,100,8,20,6,0,7,2.5853726863861084
0.5,0.8,100,8,20,7,0,6,2.761141061782837
0.5,0.8,100,8,20,8,0,5,2.5558106899261475
0.5,0.8,100,8,20,9,0,5,2.416146755218506
0.5,0.8,100,8,20,10,0,5,2.4124398231506348
0.5,0.8,100,8,20,11,0,4,2.3949527740478516
0.5,0.8,100,8,20,12,0,4,2.3978588581085205
0.5,0.8,100,8,20,13,0,4,2.446268081665039
0.5,0.8,100,8,20,14,0,4,2.3524811267852783
0.5,0.8,100,8,20,15,0,4,2.812264919281006
0.5,0.8,100,8,20,16,0,4,2.4855048656463623
0.5,0.8,100,8,20,17,0,4,2.566526174545288
0.5,0.8,100,8,20,18,0,4,2.3408968448638916
0.5,0.8,100,8,20,19,0,4,2.4147865772247314
0.5,0.8,100,8,20,20,0,4,2.3613996505737305
0.05,0.09,100,100,20,1,0,19,3.837125062942505
0.05,0.09,100,100,20,2,0,19,6.256953954696655
0.05,0.09,100,100,20,3,0,10,7.512254238128662
0.05,0.09,100,100,20,4,0,2,5.1768810749053955
0.05,0.09,100,100,20,5,0,1,3.029615640640259
0.05,0.09,100,100,20,6,1,1,2.5853726863861084
0.5,0.9,100,8,20,1,0,16,3.269282579421997
0.5,0.9,100,8,20,2,0,7,2.6898977756500244
0.5,0.9,100,8,20,3,0,6,2.3966429233551025
0.5,0.9,100,8,20,4,0,4,2.4954845905303955
0.5,0.9,100,8,20,5,0,3,2.325672149658203
0.5,0.9,100,8,20,6,0,2,2.4186079502105713
0.5,0.9,100,8,20,7,1,2,2.761141061782837
0.5,1.0,100,9,20,1,0,16,2.898226737976074
0.5,1.0,100,9,20,2,0,12,3.6260294914245605
0.5,1.0,100,9,20,3,0,9,2.735741376876831
0.5,1.0,100,9,20,4,0,9,2.5219297409057617
0.5,1.0,100,9,20,5,0,7,2.658050060272217
0.5,1.0,100,9,20,6,0,6,2.428171157836914
0.5,1.0,100,9,20,7,0,5,2.470897912979126
0.5,1.0,100,9,20,8,0,4,2.4077281951904297
0.5,1.0,100,9,20,9,0,3,2.4588561058044434
0.5,1.0,100,9,20,10,0,3,2.321366310119629
0.5,1.0,100,9,20,11,0,3,2.3684146404266357
0.5,1.0,100,9,20,12,0,3,2.5107645988464355
0.5,1.0,100,9,20,13,0,3,2.3903887271881104
0.5,1.0,100,9,20,14,0,3,2.353933572769165
0.5,1.0,100,9,20,15,0,3,2.282320976257324
0.5,1.0,100,9,20,16,0,3,2.2955856323242188
0.5,1.0,100,9,20,17,0,3,2.3011536598205566
0.5,1.0,100,9,20,18,0,3,2.3885650634765625
0.5,1.0,100,9,20,19,0,3,2.4568417072296143
0.5,1.0,100,9,20,20,0,3,2.40090012550354
0.06,0.1,100,100,20,1,0,17,3.4408531188964844
0.06,0.1,100,100,20,2,0,17,6.268876075744629
0.06,0.1,100,100,20,3,0,4,7.348793029785156
0.06,0.1,100,100,20,4,0,3,3.6103105545043945
0.06,0.1,100,100,20,5,0,3,3.8144783973693848
0.06,0.1,100,100,20,6,0,3,4.2340309619903564
0.06,0.1,100,100,20,7,0,3,3.284860849380493
0.06,0.1,100,100,20,8,0,3,3.2951152324676514
0.06,0.1,100,100,20,9,0,3,3.6735548973083496
0.06,0.1,100,100,20,10,0,3,3.4218709468841553
0.06,0.1,100,100,20,11,0,3,3.662466287612915
0.06,0.1,100,100,20,12,0,3,3.237485647201538
0.06,0.1,100,100,20,13,0,3,3.20405912399292
0.06,0.1,100,100,20,14,0,3,3.342430353164673
0.06,0.1,100,100,20,15,0,3,3.260155200958252
0.06,0.1,100,100,20,16,0,3,3.272834300994873
0.06,0.1,100,100,20,17,0,3,3.3092634677886963
0.06,0.1,100,100,20,18,0,3,3.332829236984253
0.06,0.1,100,100,20,19,0,3,3.310638666152954
0.06,0.1,100,100,20,20,0,3,3.554840564727783
0.06,0.07,100,80,20,1,0,11,3.1155660152435303
0.06,0.07,100,80,20,2,0,11,3.709350824356079
0.06,0.07,100,80,20,3,0,2,4.693093538284302
0.06,0.07,100,80,20,4,0,2,2.6827077865600586
0.06,0.07,100,80,20,5,1,2,3.8144783973693848
0.6,0.7,100,1,20,1,0,1,2.208488702774048
0.6,0.7,100,1,20,2,1,1,3.709350824356079
0.06,0.08,100,100,20,1,0,14,3.2061727046966553
0.06,0.08,100,100,20,2,0,14,5.130200386047363
0.06,0.08,100,100,20,3,0,4,6.235442161560059
0.06,0.08,100,100,20,4,0,4,3.4262442588806152
0.06,0.08,100,100,20,5,0,3,3.506173849105835
0.06,0.08,100,100,20,6,0,3,3.267036199569702
0.06,0.08,100,100,20,7,0,3,3.506978750228882
0.06,0.08,100,100,20,8,0,3,3.2781901359558105
0.06,0.08,100,100,20,9,0,3,3.2360429763793945
0.06,0.08,100,100,20,10,0,3,3.2365918159484863
0.06,0.08,100,100,20,11,0,3,3.2929582595825195
0.06,0.08,100,100,20,12,0,3,3.2607717514038086
0.06,0.08,100,100,20,13,0,3,3.1967012882232666
0.06,0.08,100,100,20,14,0,3,3.243006706237793
0.06,0.08,100,100,20,15,0,3,3.1975648403167725
0.06,0.08,100,100,20,16,0,3,3.1787827014923096
0.06,0.08,100,100,20,17,0,3,3.27095103263855
0.06,0.08,100,100,20,18,0,3,3.3229198455810547
0.06,0.08,100,100,20,19,0,3,3.468233585357666
0.06,0.08,100,100,20,20,0,3,3.283832311630249
0.6,0.8,100,4,20,1,0,4,2.70536208152771
0.6,0.8,100,4,20,2,0,4,2.320404529571533
0.6,0.8,100,4,20,3,0,4,2.275064706802368
0.6,0.8,100,4,20,4,0,4,2.270183563232422
0.6,0.8,100,4,20,5,0,4,2.3270914554595947
0.6,0.8,100,4,20,6,0,4,2.4082281589508057
0.6,0.8,100,4,20,7,0,4,2.410562038421631
0.6,0.8,100,4,20,8,0,4,2.334270715713501
0.6,0.8,100,4,20,9,0,4,2.3467659950256348
0.6,0.8,100,4,20,10,0,4,2.245023012161255
0.6,0.8,100,4,20,11,0,4,2.337862968444824
0.6,0.8,100,4,20,12,0,4,2.3599090576171875
0.6,0.8,100,4,20,13,0,4,2.345308303833008
0.6,0.8,100,4,20,14,0,4,2.288658857345581
0.6,0.8,100,4,20,15,0,4,2.330263614654541
0.6,0.8,100,4,20,16,0,4,2.296414613723755
0.6,0.8,100,4,20,17,0,4,2.3375651836395264
0.6,0.8,100,4,20,18,0,4,2.306377410888672
0.6,0.8,100,4,20,19,0,4,2.3394925594329834
0.6,0.8,100,4,20,20,0,4,2.509239912033081
0.06,0.09,100,100,20,1,0,13,3.2273972034454346
0.06,0.09,100,100,20,2,0,13,5.010115385055542
