ncores,repetition,iteration,time
1,1,1,4.429881572723389
1,1,2,13.62832236289978
1,1,3,20.061258792877197
1,1,4,19.963231086730957
1,1,5,16.12684392929077
1,1,6,15.882214784622192
1,1,7,15.117371320724487
1,1,8,15.760450839996338
1,1,9,15.880961894989014
1,1,10,15.828330516815186
1,2,1,4.437212228775024
1,2,2,13.665718793869019
1,2,3,19.977715730667114
1,2,4,19.96235179901123
1,2,5,16.3853600025177
1,2,6,15.833425998687744
1,2,7,15.071826219558716
1,2,8,15.851075649261475
1,2,9,16.130481481552124
1,2,10,15.901271343231201
1,3,1,4.421387195587158
1,3,2,13.641153335571289
1,3,3,19.900413751602173
1,3,4,19.920440912246704
1,3,5,16.070087432861328
1,3,6,15.852384567260742
1,3,7,15.11077094078064
1,3,8,15.92414665222168
1,3,9,15.911696672439575
1,3,10,15.766671180725098
1,4,1,4.437176465988159
1,4,2,14.143141031265259
1,4,3,19.80399489402771
1,4,4,19.803579092025757
1,4,5,16.079888820648193
1,4,6,15.827031373977661
1,4,7,15.051800012588501
1,4,8,15.764272928237915
1,4,9,15.9473397731781
1,4,10,15.79817247390747
1,5,1,4.718002080917358
1,5,2,13.858793258666992
1,5,3,19.7732572555542
1,5,4,19.93188500404358
1,5,5,16.03193473815918
1,5,6,15.896624088287354
1,5,7,15.254537105560303
1,5,8,15.802357912063599
1,5,9,16.0210702419281
1,5,10,15.960942029953003
1,6,1,4.44589900970459
1,6,2,13.627695083618164
1,6,3,19.768758535385132
1,6,4,20.141151189804077
1,6,5,16.084532260894775
1,6,6,15.868335485458374
1,6,7,15.11880874633789
1,6,8,15.815154552459717
1,6,9,16.04432964324951
1,6,10,15.92347764968872
1,7,1,4.526269197463989
1,7,2,13.643476247787476
1,7,3,19.75147819519043
1,7,4,19.834786653518677
1,7,5,16.023459911346436
1,7,6,15.822466135025024
1,7,7,15.063957452774048
1,7,8,15.668402671813965
1,7,9,15.92955732345581
1,7,10,15.886794328689575
1,8,1,4.4168031215667725
1,8,2,13.623384714126587
1,8,3,19.826512098312378
1,8,4,19.882028818130493
1,8,5,16.482497215270996
1,8,6,15.824593544006348
1,8,7,15.13394021987915
1,8,8,15.792342185974121
1,8,9,15.926845788955688
1,8,10,15.9035005569458
1,9,1,4.420462608337402
1,9,2,13.688123941421509
1,9,3,19.93921947479248
1,9,4,19.911973476409912
1,9,5,16.060376167297363
1,9,6,15.811503171920776
1,9,7,15.189198017120361
1,9,8,15.83157467842102
1,9,9,16.013932466506958
1,9,10,15.83776044845581
1,10,1,4.392563104629517
1,10,2,13.68362307548523
1,10,3,20.20743227005005
1,10,4,20.280934810638428
1,10,5,16.00434184074402
1,10,6,15.828493118286133
1,10,7,15.113107681274414
1,10,8,15.972644567489624
1,10,9,15.925660610198975
1,10,10,15.86184287071228
2,1,1,3.0090508460998535
2,1,2,7.523850440979004
2,1,3,10.670897006988525
2,1,4,10.675307989120483
2,1,5,8.753196716308594
2,1,6,8.626759767532349
2,1,7,8.57731008529663
2,1,8,9.054161071777344
2,1,9,8.742197513580322
2,1,10,8.613202810287476
2,2,1,2.9879043102264404
2,2,2,7.540680170059204
2,2,3,10.651969194412231
2,2,4,10.687917470932007
2,2,5,8.765249967575073
2,2,6,8.590245485305786
2,2,7,8.557737827301025
2,2,8,9.04647421836853
2,2,9,8.70638132095337
2,2,10,8.613627672195435
2,3,1,2.996046543121338
2,3,2,7.521780014038086
2,3,3,10.633892297744751
2,3,4,10.674478769302368
2,3,5,8.74751901626587
2,3,6,8.593898057937622
2,3,7,8.546543836593628
2,3,8,9.08042287826538
2,3,9,8.728951215744019
2,3,10,8.599748611450195
2,4,1,3.003509759902954
2,4,2,7.539896249771118
2,4,3,10.745766639709473
2,4,4,10.707042932510376
2,4,5,8.770602703094482
2,4,6,8.617422103881836
2,4,7,8.567195415496826
2,4,8,9.034210443496704
2,4,9,8.711677074432373
2,4,10,8.593127965927124
